Wavelength (nm);Parallel ;Perpendicular
404;10.21396;58.88226
405;10.0453;58.90715
406;9.97194;59.16183
407;9.80955;59.2538
408;9.95471;59.46503
409;10.17373;59.54058
410;10.05866;59.72847
411;10.02899;59.74366
412;9.91497;59.98907
413;10.40555;60.043
414;9.92589;60.14512
415;10.02078;60.30016
416;9.91091;60.41592
417;10.11055;60.63704
418;9.86586;60.7204
419;10.14157;60.74818
420;9.81907;60.91072
421;9.97858;60.94968
422;9.8833;61.08144
423;9.92532;61.25745
424;10.09201;61.43169
425;10.21703;61.51225
426;10.30483;61.68079
427;10.25295;61.71649
428;10.14822;61.85785
429;10.05779;61.98354
430;10.39704;62.11887
431;9.99603;62.20247
432;10.04279;62.28409
433;10.36448;62.42946
434;10.15695;62.58284
435;10.18086;62.56015
436;10.00669;62.78838
437;10.16323;62.8597
438;10.36684;63.04874
439;10.27414;63.10389
440;10.14788;63.15672
441;10.24479;63.23538
442;10.22311;63.36478
443;10.41548;63.47942
444;10.40938;63.64112
445;10.32442;63.78388
446;10.43748;63.84326
447;10.38658;63.91659
448;10.34422;64.00038
449;10.50654;64.135
450;10.49132;64.22597
451;10.4941;64.33202
452;10.3067;64.43384
453;10.46155;64.54976
454;10.3535;64.66441
455;10.33807;64.72942
456;10.4207;64.84964
457;10.56166;64.90009
458;10.60189;65.0909
459;10.39577;65.1176
460;10.57326;65.24308
461;10.56228;65.32591
462;10.60868;65.4073
463;10.68201;65.54626
464;10.73293;65.63177
465;10.73704;65.7403
466;10.83673;65.82925
467;10.73409;65.91347
468;10.77547;66.00317
469;10.73649;66.08331
470;10.78479;66.19246
471;10.74978;66.26986
472;10.61086;66.37077
473;10.73149;66.47705
474;10.69513;66.54144
475;10.61195;66.62632
476;10.6379;66.70035
477;10.59319;66.82571
478;10.75645;66.8983
479;10.70094;67.00314
480;10.7563;67.09212
481;10.8764;67.19773
482;10.83216;67.30845
483;10.87266;67.35003
484;10.93217;67.44007
485;10.9365;67.51424
486;11.09168;67.60516
487;11.12108;67.72107
488;11.06821;67.80796
489;11.11259;67.89449
490;11.15428;67.99329
491;11.15869;68.07854
492;11.13942;68.16686
493;11.13593;68.27497
494;11.15052;68.33446
495;11.06004;68.46016
496;11.0771;68.52009
497;10.94378;68.60352
498;10.96288;68.70093
499;10.89422;68.76411
500;10.9621;68.84309
501;10.95156;68.9482
502;10.9423;69.02358
503;11.05538;69.14156
504;11.03964;69.22002
505;11.14561;69.27493
506;11.13212;69.40475
507;11.2515;69.47838
508;11.27946;69.57992
509;11.24665;69.63554
510;11.35102;69.71188
511;11.47646;69.8114
512;11.48522;69.90163
513;11.46333;69.98761
514;11.48332;70.10118
515;11.49312;70.16057
516;11.50233;70.25882
517;11.45375;70.32535
518;11.44415;70.41302
519;11.43332;70.50288
520;11.34184;70.60126
521;11.37843;70.6622
522;11.26837;70.77963
523;11.24386;70.82154
524;11.2247;70.94095
525;11.21422;70.99712
526;11.22775;71.10168
527;11.25309;71.17547
528;11.21772;71.25433
529;11.26745;71.33785
530;11.27275;71.41325
531;11.38265;71.50867
532;11.42768;71.58652
533;11.46671;71.6705
534;11.57256;71.74075
535;11.62536;71.85033
536;11.6071;71.91289
537;11.69297;71.99184
538;11.63492;72.08504
539;11.77954;72.14335
540;11.7881;72.23569
541;11.86427;72.35209
542;11.75205;72.40858
543;11.79718;72.48368
544;11.77594;72.54421
545;11.7409;72.6442
546;11.7669;72.74435
547;11.76657;72.82139
548;11.73381;72.87143
549;11.64159;72.94684
550;11.57258;73.01624
551;11.52575;73.07212
552;11.56546;73.17823
553;11.47878;73.23122
554;11.45722;73.29605
555;11.46147;73.36822
556;11.47318;73.46137
557;11.54693;73.49676
558;11.49984;73.57053
559;11.55786;73.6461
560;11.61902;73.70163
561;11.67812;73.78381
562;11.75889;73.83708
563;11.75102;73.89516
564;11.80778;73.98459
565;11.84705;74.02851
566;11.90647;74.06766
567;11.93956;74.12777
568;12.00467;74.20158
569;12.06934;74.26151
570;12.02363;74.29136
571;12.05375;74.41523
572;12.11985;74.44306
573;12.01363;74.50809
574;12.13264;74.54877
575;12.05049;74.60944
576;12.03605;74.71602
577;12.03214;74.71848
578;11.92397;74.76265
579;11.9133;74.8147
580;11.92466;74.86094
581;11.87494;74.90178
582;11.79206;74.94223
583;11.80423;75.00249
584;11.71166;75.00581
585;11.71718;75.07986
586;11.72377;75.136
587;11.71776;75.17719
588;11.66241;75.19233
589;11.67723;75.24359
590;11.69847;75.2822
591;11.69256;75.33823
592;11.74854;75.37124
593;11.77858;75.39883
594;11.798;75.4359
595;11.85767;75.46113
596;11.85606;75.51162
597;11.94891;75.54048
598;12.0114;75.57792
599;12.05017;75.61436
600;12.13547;75.64335
601;12.1362;75.66649
602;12.18927;75.71627
603;12.18895;75.73013
604;12.27325;75.7629
605;12.30548;75.80892
606;12.31593;75.80837
607;12.30258;75.8466
608;12.29075;75.87422
609;12.35335;75.89838
610;12.28737;75.93245
611;12.25647;75.96279
612;12.17336;75.97361
613;12.15905;76.00432
614;12.14882;76.01256
615;12.13454;76.04571
616;12.03398;76.06957
617;11.97886;76.10426
618;12.0326;76.10677
619;11.89697;76.12382
620;11.91901;76.14979
621;11.87723;76.17077
622;11.86652;76.18147
623;11.95224;76.22281
624;11.8968;76.23718
625;11.77944;76.2499
626;11.88159;76.26411
627;11.88421;76.29604
628;11.89365;76.29195
629;11.94218;76.33789
630;11.93587;76.35469
631;12.01813;76.33997
632;12.00685;76.35689
633;12.01794;76.37959
634;12.0944;76.40103
635;12.18936;76.39216
636;12.20873;76.42056
637;12.15336;76.42082
638;12.29556;76.42347
639;12.35003;76.45342
640;12.39882;76.46616
641;12.32064;76.46477
642;12.47469;76.48592
643;12.43968;76.49162
644;12.48755;76.50103
645;12.44328;76.51099
646;12.43986;76.52204
647;12.3882;76.51849
648;12.36671;76.54415
649;12.39386;76.53088
650;12.37958;76.54305
651;12.34529;76.55014
652;12.3385;76.56859
653;12.31115;76.55971
654;12.24409;76.5642
655;12.32707;76.58407
656;12.17632;76.58464
657;12.17154;76.57696
658;12.12828;76.58826
659;12.01813;76.59366
660;12.02722;76.58101
661;12.01518;76.58822
662;11.99642;76.59711
663;11.90582;76.58561
664;11.97779;76.59626
665;11.82753;76.60155
666;11.81212;76.59331
667;11.92965;76.58243
668;11.93299;76.59303
669;11.95345;76.58177
670;11.90452;76.59171
671;12.02322;76.5863
672;11.94528;76.5873
673;11.99541;76.57935
674;12.10596;76.59791
675;12.12711;76.57946
676;12.11878;76.58753
677;12.20627;76.56432
678;12.23868;76.56063
679;12.34609;76.56812
680;12.33591;76.56298
681;12.33716;76.5499
682;12.39674;76.54165
683;12.47532;76.543
684;12.4018;76.53773
685;12.4272;76.53492
686;12.46716;76.50519
687;12.53582;76.51307
688;12.47659;76.51949
689;12.51706;76.49438
690;12.59549;76.48935
691;12.46752;76.47764
692;12.58468;76.46642
693;12.44374;76.46252
694;12.5097;76.46209
695;12.433;76.44631
696;12.4281;76.41109
697;12.36932;76.42142
698;12.37114;76.38622
699;12.37393;76.39028
700;12.37103;76.36568
701;12.2785;76.36815
702;12.19416;76.3475
703;12.19468;76.32397
704;12.20534;76.31971
705;12.11306;76.30688
706;12.08419;76.29805
707;12.13704;76.26482
708;11.96897;76.24561
709;12.04953;76.2469
710;11.92171;76.21049
711;11.95958;76.21209
712;12.01117;76.16378
713;11.88828;76.1638
714;11.96355;76.15083
715;11.92526;76.14068
716;12.00057;76.09914
717;12.0187;76.08843
718;11.97597;76.05972
719;11.93072;76.04922
720;11.98974;76.01969
721;12.00874;76.04583
722;12.07386;75.94598
723;12.07711;75.94941
724;12.12164;75.88663
725;12.17591;75.86185
726;12.18162;75.88347
727;12.23907;75.8727
728;12.29492;75.90294
729;12.2834;75.84793
730;12.31926;75.77917
731;12.34075;75.73636
732;12.39154;75.74728
733;12.41;75.72998
734;12.45572;75.73949
735;12.48029;75.67104
736;12.47668;75.68546
737;12.49755;75.65167
738;12.50038;75.54066
739;12.50742;75.56573
740;12.51282;75.42041
741;12.50152;75.44144
742;12.49073;75.44753
743;12.48772;75.41277
744;12.47328;75.3529
745;12.46226;75.29827
746;12.45336;75.30807
747;12.4231;75.22991
748;12.40517;75.15958
749;12.36695;75.09707
750;12.33729;75.13384
751;12.28247;75.09032
752;12.26563;75.03889
753;12.22824;74.99094
754;12.19459;74.90627
755;12.15294;74.88176
756;12.11335;74.8583
757;12.07591;74.81348
758;12.0462;74.82391
759;12.01709;74.72003
760;11.97726;74.65997
761;11.94622;74.6969
762;11.93726;74.65451
763;11.89762;74.52481
764;11.89047;74.50601
765;11.86147;74.38992
766;11.86647;74.38274
767;11.84438;74.36073
768;11.82574;74.28818
769;11.82529;74.25201
770;11.83935;74.15816
771;11.8352;74.00697
772;11.8419;74.02859
773;11.8424;73.96476
774;11.85689;73.95728
775;11.85646;73.89674
776;11.87883;73.79566
777;11.88716;73.7193
778;11.92858;73.66785
779;11.936;73.66225
780;11.95371;73.54546
781;11.9914;73.53765
782;12.02142;73.49677
783;12.06184;73.37476
784;12.07115;73.32893
785;12.10877;73.31759
786;12.13969;73.2576
787;12.16678;73.1813
788;12.16234;73.12883
789;12.20383;73.04609
790;12.24729;72.99071
791;12.25466;72.88126
792;12.28736;72.91662
793;12.3015;72.8159
794;12.33563;72.77669
795;12.30528;72.67224
796;12.31517;72.5988
797;12.33829;72.5437
798;12.32885;72.49752
799;12.3348;72.40398
800;12.33977;72.38772
801;12.3236;72.30842
802;12.31319;72.19258
803;12.30371;72.16587
804;12.29505;72.09641
805;12.26086;72.08105
806;12.27572;71.97314
807;12.22973;71.94337
808;12.20972;71.95696
809;12.18798;71.89752
810;12.16406;71.86619
811;12.13971;71.83212
812;12.10963;71.73215
813;12.07834;71.70275
814;12.02738;71.69538
815;12.02318;71.68008
816;11.98125;71.58078
817;11.9456;71.52232
818;11.91051;71.46537
819;11.9011;71.51131
820;11.87312;71.47174
821;11.82894;71.4296
822;11.80244;71.41669
823;11.79658;71.35123
824;11.76746;71.36282
825;11.75102;71.25599
826;11.72892;71.29572
827;11.71071;71.26958
828;11.70683;71.28674
829;11.6809;71.34286
830;11.682;71.28793
831;11.65702;71.25598
832;11.66498;71.27037
833;11.67782;71.28954
834;11.67171;71.30595
835;11.67962;71.30668
836;11.68318;71.32065
837;11.6966;71.31341
838;11.69851;71.36578
839;11.71269;71.36884
840;11.74025;71.40903
841;11.75617;71.47236
842;11.76902;71.50758
843;11.79856;71.534
844;11.8269;71.57998
845;11.84323;71.59578
846;11.87224;71.69838
847;11.89852;71.71494
848;11.92435;71.78494
849;11.94961;71.83511
850;11.98525;71.85469
851;12.01066;71.9411
852;12.05166;72.02934
853;12.0766;72.0661
854;12.10696;72.14671
855;12.12143;72.25291
856;12.16278;72.33255
857;12.1849;72.3866
858;12.22189;72.48038
859;12.23683;72.58855
860;12.24808;72.65955
861;12.27308;72.74657
862;12.2906;72.84365
863;12.29944;72.94607
864;12.32006;73.03626
865;12.32823;73.13839
866;12.3425;73.23382
867;12.34342;73.34088
868;12.35147;73.45351
869;12.36504;73.5566
870;12.34891;73.67386
871;12.35177;73.77179
872;12.3492;73.8751
873;12.35343;73.99656
874;12.34041;74.13542
875;12.33869;74.26845
876;12.32678;74.35439
877;12.31415;74.49805
878;12.29476;74.60107
879;12.2818;74.73167
880;12.26348;74.8353
881;12.24718;74.97894
882;12.22207;75.08713
883;12.2013;75.23304
884;12.18546;75.33909
885;12.15684;75.48058
886;12.13376;75.59511
887;12.11457;75.7052
888;12.08994;75.84872
889;12.06766;75.97505
890;12.04242;76.10847
891;12.02143;76.22672
892;12.00584;76.3629
893;11.98346;76.49981
894;11.95637;76.6182
895;11.94313;76.7429
896;11.92623;76.85584
897;11.90745;77.00008
898;11.89016;77.11187
899;11.88051;77.26499
900;11.86885;77.37656
901;11.85771;77.48426
902;11.85249;77.62079
903;11.84582;77.73483
904;11.84619;77.85849
905;11.84021;77.9744
906;11.83846;78.11307
907;11.84108;78.245
908;11.84407;78.35672
909;11.8482;78.48987
910;11.85447;78.59724
911;11.86355;78.71624
912;11.87415;78.83833
913;11.88575;78.94118
914;11.89873;79.05515
915;11.91458;79.19972
916;11.93214;79.30504
917;11.94746;79.41975
918;11.96653;79.5376
919;11.98921;79.64916
920;12.01092;79.75632
921;12.03399;79.88461
922;12.05784;79.99885
923;12.08168;80.09141
924;12.10914;80.20168
925;12.13349;80.30699
926;12.15697;80.42547
927;12.18678;80.52514
928;12.2121;80.63062
929;12.2389;80.7395
930;12.2655;80.84357
931;12.29371;80.94221
932;12.31828;81.0456
933;12.34295;81.14131
934;12.36811;81.25388
935;12.39328;81.33493
936;12.41387;81.44903
937;12.43695;81.54525
938;12.45783;81.64143
939;12.47617;81.73384
940;12.49526;81.84157
941;12.51043;81.93266
942;12.52658;82.02578
943;12.54171;82.11906
944;12.55633;82.22253
945;12.56653;82.30232
946;12.57291;82.39655
947;12.58245;82.48932
948;12.58968;82.57553
949;12.59393;82.66241
950;12.59518;82.74883
951;12.59501;82.8457
952;12.59908;82.9315
953;12.59946;83.0321
954;12.5944;83.11364
955;12.58804;83.19048
956;12.58431;83.27407
957;12.57887;83.35201
958;12.56959;83.43827
959;12.55618;83.51074
960;12.54345;83.58885
961;12.53226;83.67561
962;12.52069;83.75474
963;12.50279;83.814
964;12.48403;83.89314
965;12.46775;83.97017
966;12.45341;84.0444
967;12.43466;84.12305
968;12.41194;84.18458
969;12.39053;84.2609
970;12.37301;84.33573
971;12.35645;84.40807
972;12.33321;84.47707
973;12.30928;84.55027
974;12.28798;84.6093
975;12.27058;84.68401
976;12.25143;84.75899
977;12.22913;84.82078
978;12.20483;84.88475
979;12.18575;84.94948
980;12.17324;85.01952
981;12.15475;85.0908
982;12.13262;85.15269
983;12.1138;85.2048
984;12.10049;85.27591
985;12.09124;85.33817
986;12.07571;85.40686
987;12.05928;85.46351
988;12.04546;85.5285
989;12.04036;85.58741
990;12.03417;85.65106
991;12.02544;85.70904
992;12.01281;85.76934
993;12.00694;85.81713
994;12.00868;85.88026
995;12.00949;85.93906
996;12.00528;85.99046
997;12.0001;86.04167
998;12.00164;86.09993
999;12.00932;86.14931
1000;12.01629;86.22117
1001;12.01663;86.27563
1002;12.01905;86.31405
1003;12.02732;86.36732
1004;12.04285;86.42651
1005;12.05428;86.4806
1006;12.06026;86.52613
1007;12.06593;86.56948
1008;12.08021;86.61287
1009;12.10224;86.67043
1010;12.12029;86.72691
1011;12.13128;86.77345
1012;12.1395;86.82588
1013;12.15771;86.85613
1014;12.18324;86.91325
1015;12.20602;86.9722
1016;12.22171;87.01277
1017;12.23368;87.05478
1018;12.25354;87.09459
1019;12.28151;87.14468
1020;12.30861;87.19362
1021;12.32636;87.2364
1022;12.3396;87.29446
1023;12.35914;87.31367
1024;12.38451;87.36914
1025;12.4154;87.41176
1026;12.4355;87.46343
1027;12.4462;87.50045
1028;12.46277;87.53104
1029;12.48798;87.57716
1030;12.51599;87.62862
1031;12.53551;87.66984
1032;12.54691;87.70719
1033;12.55674;87.73473
1034;12.57518;87.7775
1035;12.60113;87.81609
1036;12.6237;87.85812
1037;12.63159;87.90434
1038;12.63515;87.9357
1039;12.64541;87.96814
1040;12.66466;87.99976
1041;12.68481;88.04863
1042;12.69257;88.09085
1043;12.69041;88.12327
1044;12.69236;88.1593
1045;12.70244;88.19355
1046;12.71891;88.22304
1047;12.72623;88.27979
1048;12.72229;88.31214
1049;12.71409;88.33122
1050;12.64974;88.564
1051;12.65254;88.59441
1052;12.64256;88.61304
1053;12.6472;88.6608
1054;12.64306;88.68068
1055;12.63757;88.7169
1056;12.6319;88.75387
1057;12.63638;88.79701
1058;12.62231;88.80105
1059;12.61712;88.856
1060;12.60912;88.87424
1061;12.59958;88.8901
1062;12.58748;88.94535
1063;12.57428;88.96918
1064;12.56465;89.00224
1065;12.55492;89.0232
1066;12.54734;89.06361
1067;12.52734;89.08892
1068;12.50748;89.13367
1069;12.49478;89.13253
1070;12.47594;89.17189
1071;12.46495;89.19484
1072;12.44789;89.234
1073;12.4272;89.25244
1074;12.41211;89.27724
1075;12.38725;89.30086
1076;12.3735;89.33907
1077;12.35895;89.36362
1078;12.34589;89.38774
1079;12.33043;89.40729
1080;12.30576;89.43774
1081;12.28584;89.45803
1082;12.27254;89.49055
1083;12.26806;89.51033
1084;12.23753;89.56007
1085;12.22788;89.56463
1086;12.20846;89.60363
1087;12.19413;89.61494
1088;12.18793;89.66739
1089;12.16916;89.66035
1090;12.16169;89.72641
1091;12.13508;89.71004
1092;12.12795;89.76802
1093;12.10461;89.74612
1094;12.11609;89.83366
1095;12.0948;89.79591
1096;12.08768;89.86487
1097;12.07703;89.85472
1098;12.06429;89.90829
1099;12.05565;89.88953
1100;12.05712;89.94561
1101;12.04327;89.96146
1102;12.05287;89.95398
1103;12.03218;90.01961
1104;12.03375;90.00128
1105;12.02961;90.00147
1106;12.02477;90.08253
1107;12.03842;90.09161
1108;12.03496;90.12337
1109;12.0313;90.12325
1110;12.02246;90.15406
1111;12.02913;90.18029
1112;12.03916;90.21032
1113;12.0434;90.19804
1114;12.05254;90.23224
1115;12.04928;90.2667
1116;12.05458;90.27049
1117;12.06039;90.28493
1118;12.06452;90.31881
1119;12.07777;90.34744
1120;12.10052;90.35552
1121;12.09826;90.37204
1122;12.09922;90.4192
1123;12.12626;90.3981
1124;12.12033;90.42839
1125;12.1465;90.47083
1126;12.16332;90.45509
1127;12.16947;90.48498
1128;12.1923;90.51703
1129;12.18375;90.51888
1130;12.20629;90.54206
1131;12.22377;90.58597
1132;12.24701;90.57389
1133;12.26664;90.59992
1134;12.28105;90.6178
1135;12.28648;90.63589
1136;12.30275;90.64926
1137;12.32413;90.67388
1138;12.34257;90.67561
1139;12.36028;90.7226
1140;12.38652;90.7057
1141;12.38698;90.73575
1142;12.40367;90.77503
1143;12.4232;90.78374
1144;12.4404;90.72087
1145;12.4552;90.83991
1146;12.47067;90.83025
1147;12.49632;90.86856
1148;12.49213;90.83665
1149;12.50761;90.85741
1150;12.52418;90.88184
1151;12.54743;90.89038
1152;12.55876;90.90987
1153;12.57087;90.93744
1154;12.58494;90.93198
1155;12.58555;90.93536
1156;12.59998;90.99695
1157;12.60981;90.98772
1158;12.62849;90.94904
1159;12.63478;91.05725
1160;12.64616;91.03711
1161;12.65712;91.0574
1162;12.64162;91.06342
1163;12.65091;91.08006
1164;12.67533;91.10053
1165;12.68098;91.10764
1166;12.69138;91.11951
1167;12.68719;91.14879
1168;12.68085;91.13435
1169;12.68799;91.16631
1170;12.68831;91.18606
1171;12.69687;91.25878
1172;12.69738;91.23537
1173;12.69307;91.14455
1174;12.69372;91.22092
1175;12.68938;91.24512
1176;12.68091;91.25275
1177;12.68147;91.33546
1178;12.69425;91.3047
1179;12.68195;91.29119
1180;12.67893;91.28638
1181;12.67143;91.32882
1182;12.66338;91.40221
1183;12.65763;91.3597
1184;12.64311;91.34592
1185;12.63763;91.3762
1186;12.63967;91.41226
1187;12.62171;91.44038
1188;12.61981;91.41184
1189;12.61197;91.42876
1190;12.58648;91.44303
1191;12.57931;91.46375
1192;12.5707;91.46907
1193;12.55684;91.47388
1194;12.54628;91.49073
1195;12.5248;91.51989
1196;12.52276;91.51336
1197;12.50418;91.52531
1198;12.48653;91.53292
1199;12.48183;91.53259
1200;12.47108;91.43578
1201;12.44736;91.42455
1202;12.44048;91.50885
1203;12.43074;91.47408
1204;12.4187;91.49881
1205;12.38593;91.48478
1206;12.38095;91.53326
1207;12.36168;91.517
1208;12.35092;91.52377
1209;12.33478;91.55403
1210;12.31329;91.55213
1211;12.30584;91.48055
1212;12.29742;91.59024
1213;12.27343;91.71313
1214;12.2543;91.59599
1215;12.24329;91.60155
1216;12.21927;91.59811
1217;12.21652;91.63324
1218;12.20298;91.64117
1219;12.20656;91.728
1220;12.17208;91.68291
1221;12.16282;91.51454
1222;12.13651;91.68546
1223;12.13566;91.68828
1224;12.1277;91.70858
1225;12.11719;91.72545
1226;12.11685;91.72163
1227;12.10307;91.76914
1228;12.08473;91.75118
1229;12.06654;91.75918
1230;12.05578;91.76208
1231;12.05621;91.77208
1232;12.0566;91.77988
1233;12.04697;91.81187
1234;12.04413;91.80515
1235;12.02606;91.81477
1236;12.02111;91.82565
1237;12.01402;91.82895
1238;12.01197;91.81689
1239;12.01399;91.87076
1240;12.01184;91.88244
1241;12.00295;91.8743
1242;12.00207;91.88846
1243;11.99205;91.8887
1244;11.99125;91.89542
1245;11.99317;91.91376
1246;11.98947;91.91992
1247;11.99522;91.91864
1248;11.9941;91.9377
1249;12.00675;91.95007
1250;12.00343;91.94147
1251;12.01493;91.98817
1252;12.00315;91.98373
1253;11.99713;91.97004
1254;12.00541;91.97604
1255;12.02033;91.99194
1256;12.03417;92.00585
1257;12.0351;92.02647
1258;12.0447;91.90228
1259;12.03452;92.00639
1260;12.0427;92.03255
1261;12.03464;92.02639
1262;12.0575;92.16741
1263;12.07076;92.03506
1264;12.09028;92.0703
1265;12.10624;92.07515
1266;12.14216;92.07586
1267;12.10794;92.09045
1268;12.10908;92.09489
1269;12.11573;92.10007
1270;12.13015;92.11203
1271;12.15273;92.1087
1272;12.17299;92.12315
1273;12.18665;92.12894
1274;12.19965;92.16515
1275;12.20318;92.17528
1276;12.20543;92.24942
1277;12.19893;91.93615
1278;12.22468;92.17501
1279;12.24638;92.19953
1280;12.27465;92.20007
1281;12.29807;92.2141
1282;12.3071;92.22678
1283;12.31033;92.23135
1284;12.30877;92.22916
1285;12.32016;92.23933
1286;12.33487;92.23817
1287;12.35747;92.25367
1288;12.3825;92.25483
1289;12.4045;92.27988
1290;12.40879;92.29553
1291;12.41823;92.30073
1292;12.4188;92.30454
1293;12.41453;92.29449
1294;12.42379;92.30878
1295;12.45092;92.31411
1296;12.47743;92.32237
1297;12.49542;92.32662
1298;12.51602;92.34928
1299;12.51226;92.37157
1300;12.51315;92.35107
1301;12.50972;92.36778
1302;12.51171;92.34721
1303;12.52817;92.36402
1304;12.55064;92.36697
1305;12.57348;92.38414
1306;12.59561;92.4066
1307;12.60612;92.40977
1308;12.59403;92.41558
1309;12.59008;92.40422
1310;12.58034;92.41817
1311;12.59093;92.41684
1312;12.60694;92.42868
1313;12.63015;92.43582
1314;12.66257;92.37449
1315;12.65964;92.46722
1316;12.65907;92.4798
1317;12.64723;92.4655
1318;12.63168;92.46189
1319;12.62439;92.46866
1320;12.63386;92.46447
1321;12.65461;92.49255
1322;12.66834;92.48639
1323;12.68429;92.51397
1324;12.68299;92.51884
1325;12.67869;92.52134
1326;12.65561;92.53351
1327;12.64225;92.52707
1328;12.63785;92.53062
1329;12.64109;92.52557
1330;12.65487;92.5531
1331;12.68187;92.55451
1332;12.68891;92.57034
1333;12.68462;92.58983
1334;12.66339;92.59296
1335;12.63039;92.59174
1336;12.62417;92.57509
1337;12.60901;92.58203
1338;12.61665;92.59811
1339;12.63792;92.58974
1340;12.64722;92.60942
1341;12.65572;92.63164
1342;12.64066;92.63955
1343;12.61067;92.62523
1344;12.59287;92.64857
1345;12.5685;92.6384
1346;12.54929;92.63486
1347;12.55844;92.64008
1348;12.56016;92.66878
1349;12.57378;92.67499
1350;12.57797;92.6818
1351;12.55995;92.70266
1352;12.53558;92.6718
1353;12.51179;92.69017
1354;12.4918;92.68672
1355;12.47546;92.69913
1356;12.47626;92.67195
1357;12.47186;92.70974
1358;12.48135;92.71258
1359;12.47637;92.7182
1360;12.46432;92.73015
1361;12.44484;92.7507
1362;12.42283;92.7416
1363;12.40088;92.73468
1364;12.38237;92.74623
1365;12.37076;92.73033
1366;12.37178;92.75751
1367;12.37389;92.76833
1368;12.36698;92.76785
1369;12.3496;92.78001
1370;12.32579;92.76839
1371;12.2991;92.7681
1372;12.27314;92.74743
1373;12.24494;92.73612
1374;12.24023;92.75001
1375;12.24853;92.73895
1376;12.25266;92.76296
1377;12.24341;92.76656
1378;12.24177;92.76593
1379;12.22081;92.76041
1380;12.20064;92.76112
1381;12.16782;92.7413
